sample,study,group,cancer_abbr,tissue,sample_type,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
GTEX-OIZG-1526-SM-2YUNG,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.4647,1.7907,3.6645,6.3246,4.2943,4.7393,7.0819,4.9905,5.0972,6.0889,8.1546,0.864
TCGA-DJ-A2PS-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,3.8012,7.3614,4.4549,6.7466,4.8783,4.1326,4.0339,5.5524,3.4074,5.3903,4.8768,2.3477
TCGA-BH-A208-11,TCGA,Normal_TCGA,BRCA,Breast,Solid Tissue Normal,3.6159,3.9203,4.7939,6.2742,5.1691,4.6536,3.9514,4.6206,6.2954,4.8485,5.9048,0.9486
GTEX-R55C-1726-SM-3GADJ,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.3448,1.9672,0.687,2.6599,1.2987,3.1309,1.4854,4.3008,0.9486,4.5783,2.4803,0.3334
TCGA-66-2759-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,5.1172,4.4209,5.2195,4.7021,5.4851,9.1366,9.4825,5.79,4.7549,3.0738,5.464,0.8399
GTEX-13OW7-0011-R1b-SM-5L3HF,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.111,1.269,1.5753,2.5084,0.9928,3.838,2.943,1.9411,2.854,5.6147,4.8161,2.2016
TCGA-DD-AADQ-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,0.0426,2.7718,0.9782,2.6346,2.856,2.8933,1.8278,2.06,3.488,1.2016,6.4658,8.8352
TCGA-EK-A2RB-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,2.7506,1.0976,5.2884,5.2716,4.497,3.6577,3.7856,2.2898,5.0299,2.7356,5.3187,0.3103
GTEX-11ZTS-2626-SM-5EGIC,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,4.5416,0.9486,6.5382,6.645,4.2372,4.6798,3.7322,3.5534,5.7732,4.2441,5.5894,1.1375
TCGA-BQ-5878-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,1.6871,7.5672,5.318,7.5248,3.3045,4.6088,4.3944,5.408,1.7268,5.3885,5.1172,0.189
TCGA-V4-A9EH-01,TCGA,other,,Eye,Primary Tumor,0.0286,6.0093,3.0321,4.14,0.4222,1.7655,1.5509,3.9625,0.6229,5.8395,4.8435,0.7485
GTEX-1477Z-2226-SM-5QGPG,GTEX,Normal_GTEx,,Prostate,Normal Tissue,0.8156,3.4436,4.1993,5.2211,4.3406,4.8465,6.2346,4.106,4.85,4.0942,8.1208,2.6346
TCGA-EB-A4IS-01,TCGA,Tumor_TCGA,SKCM,Skin,Primary Tumor,2.4223,1.5753,1.3505,5.4077,1.1043,4.3582,2.26,5.8885,5.2917,5.4591,6.5123,1.1506
GTEX-11NSD-1126-SM-5N9BQ,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,5.0263,2.1571,7.1165,6.3027,4.3667,5.0571,3.2079,4.1119,4.8924,5.2257,5.5871,1.0909
TCGA-XF-A9SX-01,TCGA,Tumor_TCGA,BLCA,Bladder,Primary Tumor,4.8007,5.5567,6.3658,6.4186,3.4181,3.8146,3.2403,3.9874,2.8379,3.8248,6.2926,1.5898
TCGA-B1-A47O-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,2.4276,4.4634,3.7093,5.4998,2.9782,3.025,1.7225,3.2141,0.9336,3.4751,4.7692,1.6736
GTEX-13JUV-2026-SM-5K7UA,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.795,2.9222,5.5972,6.9613,5.8932,4.7724,6.0346,4.0,4.6427,4.4719,6.4271,1.757
GTEX-1313W-0126-SM-5LZUN,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.9654,2.4409,5.3172,6.7001,5.6238,4.3219,5.8037,4.0959,4.9326,4.0926,6.4671,2.6369
GTEX-PWN1-0006-SM-2S1NG,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.263,0.3334,0.696,2.3785,1.7824,3.1603,2.6252,6.658,3.1111,6.3354,3.7506,2.4489
GTEX-12WSC-3126-SM-5GCNB,GTEX,Normal_GTEx,,Pituitary,Normal Tissue,1.2016,2.0321,3.5485,5.7663,2.2141,4.0968,4.3197,3.6949,4.5261,4.0747,6.6756,1.8278
TCGA-E2-A15T-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.6473,1.1827,1.8319,7.7295,0.864,4.847,4.1586,4.1962,5.2679,5.4585,4.4906,1.1635
TCGA-AR-A2LL-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.9745,1.7824,1.9891,8.2427,0.9782,5.729,3.0925,5.1181,3.9845,4.8575,6.1264,0.9411
TCGA-WB-A821-01,TCGA,Tumor_TCGA,PCPG,Paraganglia,Primary Tumor,0.0286,0.4854,2.4383,2.1177,1.2449,2.9011,4.4216,4.8344,2.6848,4.5614,5.798,0.8074
TARGET-20-PANWHP-09,TARGET,other,,White blood cell,Primary Blood Derived Cancer - Bone Marrow,0.0,0.0,0.0,0.2016,0.0,3.6088,1.257,0.0566,2.6871,0.4222,1.8953,0.6599
GTEX-13FHP-1626-SM-5N9FK,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,0.275,1.6599,3.2869,4.516,3.3477,2.1827,6.2671,2.5777,3.4751,3.4276,7.3084,0.9782
TCGA-D7-A4YT-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,4.5085,4.5503,4.0849,7.6815,3.3448,6.0114,5.5909,5.6346,4.1342,5.5289,5.2126,2.5849
GTEX-13112-0011-R5b-SM-5DUV8,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.0704,0.1635,1.251,2.4383,2.1954,2.3841,2.3757,1.7824,1.111,4.5198,5.1031,0.9411
TCGA-IN-A7NR-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,5.0206,5.5796,5.6699,6.453,5.0815,3.9909,3.2615,4.0479,5.5163,4.6041,4.7082,1.0635
GTEX-11XUK-1726-SM-5GU61,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,1.4222,2.8298,3.466,2.943,4.5078,6.3329,6.5833,4.4887,7.2512,5.235,7.312,1.5607
TCGA-TM-A84R-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.3785,1.8278,0.774,3.4764,4.3653,4.6323,3.6713,3.3205,2.7247,6.592,6.3873,4.2219
TCGA-BH-A0BC-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,2.9837,2.1043,2.8738,5.3502,2.1077,3.8094,4.7366,4.7495,2.7929,4.462,5.8702,0.4647
GTEX-T6MN-0011-R6A-SM-32QP8,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.669,0.7908,1.1375,3.4751,3.5753,3.7845,3.272,2.06,1.3562,5.5457,6.1981,2.0635
TCGA-HU-A4HD-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,4.504,4.2403,5.4815,11.4654,3.9946,5.7973,3.8012,4.8223,5.3899,4.9778,5.6926,2.8298
GTEX-13X6H-1726-SM-5Q5EH,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,1.1506,1.7137,3.2327,3.3491,2.257,5.5311,5.4273,3.9477,6.0819,4.0391,7.824,2.3813
TCGA-HT-A74L-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,1.516,0.275,1.6826,3.5945,7.7583,4.0976,5.1005,3.8639,3.2079,5.4857,6.9341,4.373
TCGA-3B-A9HZ-01,TCGA,Tumor_TCGA,SARC,"Soft tissue,Bone",Primary Tumor,1.4222,1.3729,1.9891,4.7944,3.6473,5.7634,5.7336,5.8344,7.0067,5.4155,6.2483,1.1954
GTEX-14DAR-2126-SM-5RQID,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.4329,1.9891,2.669,6.1852,4.591,5.4525,6.8145,4.9006,2.3277,7.7036,7.4126,0.2869
TCGA-HT-7477-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.6508,0.4005,2.6323,4.0179,5.2946,4.3597,4.8207,4.3205,4.504,5.6716,7.8959,3.851
GTEX-NFK9-0126-SM-3LK5H,GTEX,Normal_GTEx,,Testis,Normal Tissue,0.864,2.0286,2.7506,4.7366,3.0976,4.0917,4.2312,3.5583,2.6017,5.2738,5.7134,4.3632
TCGA-ER-A2ND-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,0.1635,4.6195,2.0669,3.799,0.3674,4.3385,0.5361,4.2226,1.8197,5.0223,4.1144,0.9855
TCGA-51-4079-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.9964,4.5217,4.7639,5.0742,5.0139,6.4744,7.9738,5.4611,6.6989,3.0687,5.7372,0.7399
TCGA-38-4628-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,2.4515,4.7426,4.1252,7.1605,4.5317,5.1309,3.3618,4.7181,4.0575,3.9837,5.1663,2.5008
TCGA-D3-A1Q9-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,1.4854,6.5019,4.7257,4.5185,0.275,6.6531,2.6713,5.0967,2.0356,5.9354,4.7065,0.5753
TCGA-G4-6298-01,TCGA,Tumor_TCGA,COAD,Colon,Primary Tumor,4.067,5.1355,4.9477,5.7217,2.8953,5.9413,1.9672,5.0836,5.2028,3.8217,5.7488,1.6041
TCGA-AR-A0TV-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.5311,0.5656,1.1699,5.8817,0.3448,4.3917,4.257,4.3248,4.6023,4.0347,4.5897,0.903
GTEX-Y3I4-0926-SM-4TT2B,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,0.7991,1.3841,2.111,5.0405,4.1842,4.9122,4.8068,3.8309,4.8293,5.686,6.7021,0.903
GTEX-12584-0011-R6a-SM-5NQ7C,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.0286,0.0144,0.7225,3.2357,1.7442,2.4329,1.9598,0.6229,1.8399,2.4725,5.1929,1.5361
TCGA-VD-A8K9-01,TCGA,other,,Eye,Primary Tumor,0.1763,6.51,4.8299,4.3284,0.1763,3.9882,2.101,4.0883,0.4751,6.3224,5.1558,0.1506
GTEX-WVLH-2626-SM-4MVNV,GTEX,Normal_GTEx,,Testis,Normal Tissue,1.0215,0.2987,2.2509,4.5958,2.511,4.1977,4.4469,3.9203,4.1169,5.1787,5.5242,5.3263
GTEX-ZZPU-2626-SM-5E45Y,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.0841,2.4223,1.669,3.1457,3.7159,2.707,4.9169,5.6358,0.5753,5.1707,4.9015,0.1243
TCGA-FS-A4FD-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,0.5059,1.5509,3.2675,5.2087,0.7399,3.9523,2.516,5.1815,3.3363,5.4864,5.1363,1.2809
TCGA-B0-5707-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,5.0518,7.4917,5.6955,6.6534,3.9335,4.2258,2.3363,4.5717,2.0738,4.774,5.3751,0.848
GTEX-13PDP-2926-SM-5N9E8,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.0286,0.0841,1.0841,1.1177,1.1309,3.7866,1.5898,2.2661,4.3263,2.9891,6.9507,4.4463
GTEX-ZT9W-0726-SM-4YCDC,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.0704,3.3702,5.0496,5.5198,4.5729,6.7418,3.3448,5.2698,7.6949,6.1687,6.7622,2.0496
TCGA-EJ-5495-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,3.8904,4.0188,2.4462,6.3495,4.7959,3.7835,4.0583,5.5327,4.0514,5.1659,5.6496,0.7137
TCGA-OR-A5KW-01,TCGA,Tumor_TCGA,ACC,Adrenal gland,Primary Tumor,0.0286,1.0635,1.6736,1.6276,4.1424,4.9667,2.568,5.2506,8.0261,1.8719,4.2365,1.3045
GTEX-11LCK-1426-SM-5HL5R,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.3785,0.687,2.3161,5.9146,4.4887,4.7082,6.6945,4.4115,3.4995,7.3965,7.3744,0.3103
TCGA-05-4250-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,5.877,6.3866,5.5426,6.9347,3.6668,4.7576,3.3785,4.7618,5.48,4.1043,5.1562,2.0942
TCGA-MT-A67A-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,3.5097,2.6439,4.1449,4.6282,3.0496,3.9514,4.934,2.7203,5.4016,3.0233,5.4835,0.3103
TARGET-50-PALGAZ-01,TARGET,other,,Kidney,Primary Solid Tumor,0.1375,3.9663,3.6871,6.2256,1.9818,4.0374,6.4957,4.1285,3.0756,4.9653,5.6109,1.8679
TCGA-XF-AAN1-01,TCGA,Tumor_TCGA,BLCA,Bladder,Primary Tumor,3.9079,3.278,4.238,6.3756,2.5705,5.3611,3.2418,3.6508,4.0764,3.1194,4.5528,0.9107
TCGA-D3-A3C6-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,1.1043,3.4919,2.8439,4.9416,0.4957,4.8535,4.1026,5.1712,4.1177,5.7693,5.5801,0.5656
GTEX-ZG7Y-1326-SM-4WWBL,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,0.5946,2.2691,2.536,5.1526,4.9671,3.6288,4.4608,3.843,4.8684,6.3469,6.3074,0.8074
GTEX-OXRK-0426-SM-2YUMT,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.4957,3.0374,4.6502,7.1755,4.682,3.0875,5.4937,4.1562,3.957,6.116,8.2323,0.585
TCGA-FG-A87Q-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.9561,1.6736,2.6182,3.1715,9.7104,5.4289,4.8094,3.8817,4.251,6.3296,7.7981,3.211
TCGA-QR-A705-01,TCGA,Tumor_TCGA,PCPG,Paraganglia,Primary Tumor,0.0286,0.4957,1.3219,1.4594,0.2388,2.3074,3.8012,2.5311,1.2809,3.2735,4.1152,1.6088
TCGA-BP-4960-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,2.4957,4.2434,3.6769,2.9837,4.5255,3.1424,6.0834,3.2403,1.774,3.799,5.4175,1.4115
GTEX-ZZPT-0226-SM-5E43X,GTEX,Normal_GTEx,,Skin,Normal Tissue,2.6017,2.4854,4.9551,5.8384,5.5002,4.0487,5.2498,4.7756,4.1177,5.2927,6.2028,2.084
TCGA-E2-A154-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,4.2525,0.5656,1.5361,7.2794,0.9184,5.0755,4.3291,4.5008,4.2141,4.8585,5.6627,0.3561
TCGA-EL-A3MW-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,3.5571,6.8182,4.7252,6.5425,4.9874,2.8278,3.9991,4.5472,1.856,4.7306,4.8589,2.2141
TCGA-85-A4CN-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,5.2795,4.9663,3.7016,5.0206,5.4735,10.5242,5.0682,6.095,6.8401,4.4679,6.1918,1.0497
TCGA-56-A5DS-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.2016,4.3306,5.5717,6.5772,5.1538,6.9554,8.408,5.2746,5.0134,3.7517,5.6029,0.9782
GTEX-13O1R-0426-SM-5K7WG,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.8237,3.2854,4.4039,6.3785,5.0067,6.3245,6.3973,4.116,6.0911,5.5576,8.1087,1.275
GTEX-ZE9C-0011-R5a-SM-5EGLO,GTEX,Normal_GTEx,,Brain,Normal Tissue,1.2449,0.0566,1.6599,3.6645,2.1603,2.5286,2.7377,1.4276,1.6088,4.1842,6.0146,2.359
TCGA-CG-5718-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,3.686,3.6485,4.9255,5.7988,3.0374,4.6438,4.4396,4.839,3.7666,5.1252,4.9937,4.7724
GTEX-ZVZP-0008-SM-51MSX,GTEX,Normal_GTEx,,Skin,Cell Line,2.2631,3.796,2.5607,4.9222,5.09,7.1518,1.3841,5.3056,4.5116,3.9745,6.6544,0.687
GTEX-WHSB-1026-SM-4M1XN,GTEX,Normal_GTEx,,Small Intestine,Normal Tissue,3.8176,2.2898,3.6702,5.9208,3.3377,5.4512,4.1819,3.669,5.0431,4.5705,6.3735,1.269
TCGA-FG-A70Z-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,1.2326,1.5993,2.653,3.5059,8.4663,4.8762,5.4376,3.6949,3.106,5.7197,7.9442,3.5122
GTEX-14BIN-2726-SM-5RQIE,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,4.6467,1.2265,6.9589,6.6976,4.0993,4.2449,4.5681,3.2357,5.5097,4.3111,6.247,1.7442
GTEX-11ZVC-2126-SM-5EGJ1,GTEX,Normal_GTEx,,Colon,Normal Tissue,1.5261,1.9598,3.0144,5.1338,3.4357,3.8349,5.5844,4.1851,3.0721,4.1659,7.0642,0.9336
TCGA-BC-A69I-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,0.0841,3.2204,2.6252,3.6982,2.9203,3.6599,2.7506,2.5849,6.0215,3.3191,6.8368,9.6485
TCGA-ET-A39J-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,4.6041,7.4253,5.8895,7.2099,5.366,3.4006,5.7304,5.4222,4.4107,5.1619,5.0223,1.6553
GTEX-ZTX8-1226-SM-4YCE9,GTEX,Normal_GTEx,,Breast,Normal Tissue,2.406,3.1375,4.0134,6.2198,5.0379,3.6358,5.4657,3.9411,4.2906,4.5167,7.779,1.7181
GTEX-139UC-0011-R3b-SM-5K7VZ,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.1243,0.5261,0.5361,2.6599,2.3477,3.4634,2.6276,1.257,2.4195,4.5801,4.9227,3.536
TCGA-UB-AA0V-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,0.6599,3.8146,4.1962,4.7247,3.3103,3.6982,3.3162,4.3882,5.675,3.5085,6.3769,9.2622
TCGA-AB-2938-03,TCGA,Tumor_TCGA,LAML,White blood cell,Primary Blood Derived Cancer - Peripheral Blood,0.6135,0.669,1.157,2.6369,0.516,9.9221,3.2403,3.796,4.2479,2.7991,4.7181,1.2326
GTEX-12WSI-0826-SM-5EGKD,GTEX,Normal_GTEx,,Lung,Normal Tissue,3.3561,2.4329,4.1763,5.0691,3.5534,6.7628,6.2561,4.4854,5.5173,4.9035,7.5067,2.8237
TCGA-C5-A1MJ-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,3.5323,4.2891,2.9542,5.8502,2.943,6.3152,4.7181,4.3659,3.6159,4.8624,5.0531,2.0179
GTEX-ZAK1-1826-SM-5HL93,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,1.0773,1.4751,3.3757,4.735,4.8237,4.4276,6.6538,3.5993,4.1086,4.1408,7.2767,1.6871
TCGA-DV-5575-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,3.0374,6.2384,5.4617,5.6002,5.4591,5.6068,6.4541,4.6684,1.9524,4.1489,5.6949,0.9635
GTEX-11P81-0726-SM-5PNYH,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,1.2987,3.6993,4.2426,3.5741,3.5285,4.7929,4.5771,4.6159,3.9936,4.7453,8.2731,2.0772
GTEX-12WSL-1826-SM-5LZW9,GTEX,Normal_GTEx,,Colon,Normal Tissue,0.926,1.6915,2.516,4.8475,3.3868,4.5969,4.8895,3.9552,5.9837,5.0009,6.7827,1.1763
TCGA-CG-4474-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,4.2242,5.2177,4.7026,5.2487,4.3067,7.0613,3.9155,5.2153,5.2238,4.2388,6.0108,0.8237
TCGA-FG-A4MU-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,2.9279,0.4647,3.6577,4.9006,9.0462,4.8445,5.792,4.0259,3.6253,6.1235,8.148,3.8719
TCGA-K1-A6RV-01,TCGA,Tumor_TCGA,SARC,"Soft tissue,Bone",Primary Tumor,4.1384,3.6088,4.7235,4.2965,1.6781,4.743,4.4296,3.257,3.1375,5.3603,6.9513,1.8797
GTEX-Y114-0002-SM-4TT78,GTEX,Normal_GTEx,,Blood,Cell Line,0.0426,0.0704,0.0566,2.0942,0.0704,6.4893,4.1938,4.2883,4.4868,2.5631,0.7312,0.251
GTEX-ZDYS-2126-SM-5S2OD,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,0.8797,3.2388,3.3001,3.6369,5.4777,4.8299,5.557,4.6058,4.607,5.9361,7.7886,1.7442
TCGA-CN-6022-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,6.0195,4.7121,6.1553,5.8102,6.3601,5.4637,5.1973,6.6613,5.4246,4.0099,6.5625,1.521
GTEX-SE5C-2126-SM-4BRUJ,GTEX,Normal_GTEx,,Breast,Normal Tissue,2.3391,3.0356,3.2016,5.2153,4.7082,4.3937,5.5985,4.0959,5.7813,4.9649,7.6221,1.5509
GTEX-OXRO-1226-SM-48TDL,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.8924,3.2839,4.1202,6.1301,4.7777,2.8197,5.6602,4.5153,4.1367,4.3219,7.0913,2.281
GTEX-U412-0326-SM-5BC7E,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.111,2.0738,1.251,3.3045,2.8278,3.5669,2.6064,4.7328,2.0143,4.3147,4.017,0.2265
TCGA-BH-A1FE-06,TCGA,Tumor_TCGA,BRCA,Breast,Metastatic,1.5509,1.3104,4.4282,4.6369,3.8748,7.0912,4.6926,6.5115,8.7315,3.5521,6.9726,1.5558
TCGA-MY-A5BE-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,3.8135,2.5485,3.5336,4.4356,2.5993,4.4912,2.26,3.0617,4.4608,1.7049,5.5903,0.2987
GTEX-111VG-0526-SM-5N9BW,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,2.4087,2.7549,4.8207,5.0259,3.3785,3.2449,5.0955,3.4436,2.797,3.4789,6.6737,2.1408
GTEX-X4XY-1626-SM-46MVN,GTEX,Normal_GTEx,,Liver,Normal Tissue,0.1635,2.8699,4.4705,3.2357,4.4957,4.4842,5.4152,3.4383,6.1741,1.8156,6.0817,9.283
TCGA-AC-A3OD-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,1.4667,1.605,1.0524,5.2199,3.0731,4.3854,1.8375,3.6787,1.5869,2.751,4.4854,0.3403
TCGA-80-5608-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,3.0993,2.4356,4.1408,7.0442,2.4383,3.5185,2.5059,5.0967,4.7153,4.3406,5.07,1.0144
TCGA-CN-6021-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,4.6645,4.266,5.1663,5.2746,5.0277,7.2429,5.4037,5.7853,6.755,3.9663,5.2299,0.687
TCGA-DB-A4XB-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.5753,1.4699,1.1375,3.3391,6.4057,3.8238,4.8435,3.8983,2.4594,5.7698,7.6136,4.9723
GTEX-12WSC-0011-R10a-SM-5GU57,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.2141,1.5704,0.8237,1.2869,1.0704,3.5644,0.9855,2.1077,2.4673,5.4902,5.3466,4.4614
TCGA-BQ-5882-11,TCGA,Normal_TCGA,KIRP,Kidney,Solid Tissue Normal,2.0772,4.6265,3.8885,6.7599,3.6005,4.359,2.9524,5.2392,5.3729,5.2434,3.9727,0.8875
TCGA-13-0726-01,TCGA,Tumor_TCGA,OV,Ovary,Primary Tumor,4.6053,2.26,4.8943,4.9218,2.5558,4.6484,1.8238,2.2234,4.0772,5.533,3.9354,0.7137
GTEX-145ME-1326-SM-5O98Q,GTEX,Normal_GTEx,,Uterus,Normal Tissue,1.926,1.9818,3.7835,5.5182,4.4141,4.9355,4.0072,4.9864,4.7735,5.1627,7.5946,1.3951
GTEX-ZGAY-1126-SM-4WWBS,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,4.7872,2.1144,6.5768,6.2572,4.2357,5.1823,4.7306,3.9011,5.4702,4.5435,5.1498,1.257
TARGET-20-PASIBG-09,TARGET,other,,White blood cell,Primary Blood Derived Cancer - Bone Marrow,1.8278,0.0,0.0704,0.5946,0.0704,6.0108,0.774,1.1827,5.0708,1.4542,2.1954,1.5059
GTEX-11DXY-2026-SM-5N9CZ,GTEX,Normal_GTEx,,Colon,Normal Tissue,0.2265,1.7949,2.729,4.7333,2.852,2.9982,4.4581,3.0514,2.842,3.536,7.0485,1.257
GTEX-ZQUD-1726-SM-51MRQ,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.2141,2.2927,1.0286,1.7949,2.275,2.3813,2.1375,4.6456,1.0144,5.257,2.86,0.1763
TCGA-AJ-A3EJ-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,4.1102,2.8032,5.528,6.8845,2.3757,3.3491,4.904,4.7803,3.3147,4.7976,5.9074,2.4699
GTEX-13O21-0326-SM-5J1N9,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.5753,1.3785,3.4515,5.1023,2.4115,6.2822,6.8963,3.9505,4.9972,4.8996,6.4514,0.5656
TCGA-AR-A1AX-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,4.5868,2.6159,2.6599,9.3199,2.8758,6.0862,3.4019,4.9293,5.608,5.1807,5.687,0.6229
TCGA-EJ-A65D-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.111,0.2388,0.2869,5.5438,1.8032,1.8875,0.856,2.4409,4.09,2.2357,4.3205,1.3277
TCGA-ED-A7XP-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,0.3448,4.3937,2.4087,3.0356,3.1177,3.6645,2.5385,5.1831,3.7928,3.5778,6.352,8.2748
TCGA-UZ-A9PN-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,1.9222,6.8506,4.8293,5.9458,4.4161,4.4873,4.0747,5.8166,3.7592,5.3107,6.2822,0.9928
TCGA-CZ-5455-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,2.1667,6.6928,4.5928,5.2548,5.7876,5.5207,4.8679,5.6865,2.0356,4.4937,5.0032,0.7049
GTEX-ZAB4-2426-SM-5HL8A,GTEX,Normal_GTEx,,Colon,Normal Tissue,0.8237,1.9709,3.1375,4.6467,3.5521,5.4679,5.1027,3.9458,5.2502,4.1235,7.2697,1.8156
TCGA-CF-A1HR-01,TCGA,Tumor_TCGA,BLCA,Bladder,Primary Tumor,4.8273,2.7949,6.3393,7.662,3.3191,6.441,5.1735,3.7761,3.9755,4.3082,6.0611,0.8237
GTEX-ZP4G-2426-SM-57WEY,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.3477,2.0321,4.0018,6.4466,4.1514,2.3505,2.4646,2.278,4.2295,3.7666,4.2165,3.7538
GTEX-XBEW-0526-SM-4QASO,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.4005,2.1342,3.5656,6.3196,4.2817,5.5163,5.9944,4.5385,3.101,7.1627,8.2725,0.546
TCGA-C5-A1BE-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,5.8637,4.5185,6.4744,6.1645,4.7048,8.0757,8.2611,5.079,6.1582,4.295,5.9456,0.3896
