sample,study,group,cancer_abbr,tissue,sample_type,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
TCGA-XS-A8TJ-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,4.9616,3.4906,6.5403,6.7432,4.3722,5.691,7.1899,4.0409,4.7718,4.8919,6.1992,1.0215
TARGET-10-PARJSR-09,TARGET,other,,White blood cell,Primary Blood Derived Cancer - Bone Marrow,2.1473,0.0704,2.3045,2.7181,0.0,4.5397,0.4854,0.5946,2.5825,0.4329,0.3219,1.6041
TCGA-BH-A0AY-11,TCGA,Normal_TCGA,BRCA,Breast,Solid Tissue Normal,2.6323,4.7771,3.8166,5.8364,4.627,4.7708,6.4112,4.858,4.841,4.9621,7.1674,0.8156
TCGA-Q1-A5R3-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,4.949,2.4276,4.936,6.2048,1.5656,3.7104,3.617,1.903,4.3477,4.4389,5.0122,2.9449
GTEX-Q2AG-1126-SM-48U1P,GTEX,Normal_GTEx,,Liver,Normal Tissue,0.1375,3.2064,2.17,3.2433,3.8084,2.9928,1.6461,2.5631,4.4196,1.7991,6.7324,8.7608
GTEX-VUSH-0004-SM-3P61T,GTEX,Normal_GTEx,,Blood,Cell Line,1.5993,0.0144,0.4114,2.189,0.0566,6.9411,4.054,4.1384,4.3971,0.6781,0.5656,0.0144
TCGA-13-0920-01,TCGA,Tumor_TCGA,OV,Ovary,Primary Tumor,1.5704,2.3561,3.2357,5.202,1.8914,3.5838,4.3442,2.757,1.8836,4.4659,3.1276,0.3674
GTEX-WI4N-0005-SM-3LK7E,GTEX,Normal_GTEx,,Blood,Normal Tissue,2.025,1.7268,3.3855,3.1969,0.9782,5.1651,2.8816,3.2126,4.1962,2.6485,3.5838,1.7528
TCGA-CV-7418-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,4.8928,4.2743,4.6188,4.4039,4.7093,6.8784,3.7634,6.4728,7.13,2.7203,4.4816,1.5361
TCGA-D6-A4ZB-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,4.6293,3.8699,5.7449,5.431,5.1437,5.4067,5.1081,4.7131,5.0666,2.5008,5.7525,1.1827
TCGA-EL-A3CP-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,4.3771,6.9872,5.3813,6.9547,5.6825,3.0789,4.9763,5.7293,2.9855,5.5128,5.2226,1.275
GTEX-SE5C-0526-SM-2XCE1,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.0566,2.862,4.6954,5.0509,3.7224,6.4976,5.0189,4.5342,7.2363,5.2616,6.9864,2.774
TARGET-10-PAMXHJ-09,TARGET,other,,White blood cell,Primary Blood Derived Cancer - Bone Marrow,0.0976,0.0,0.3785,1.5607,0.0,4.1755,0.9708,2.5705,5.6831,0.5558,0.7225,1.3277
TCGA-33-4587-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.9298,4.6719,2.3074,5.9546,4.7903,7.0785,5.4542,6.8123,3.3277,6.0684,5.0475,1.9146
